Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,UNH,UNH,UNH,UNH,UNH,,,
2026-02-11,2026,2,11,Wednesday,06,2026-06,268.8,275.96,266.2,275.19,6333100,0.020825717787699594,287.7192857142857,318.1078
2026-02-12,2026,2,12,Thursday,06,2026-06,274.45,282.49,272.13,280.57,12336900,0.019576108993827113,282.65285714285716,317.3838
2026-02-13,2026,2,13,Friday,06,2026-06,281.82,289.54,280.71,289.28,10281900,0.031015869100208704,278.5335714285714,316.808
2026-02-17,2026,2,17,Tuesday,07,2026-07,290.08,290.3,284.49,285.23,6091700,-0.013984074475390185,278.98357142857145,315.8538
2026-02-18,2026,2,18,Wednesday,07,2026-07,286.13,286.26,282.47,284.35,6632000,-0.0030784976785818152,278.5735714285714,315.00399999999996
2026-02-19,2026,2,19,Thursday,07,2026-07,287.01,287.01,283.06,286.06,4931800,0.00600268157196826,278.40714285714284,314.23900000000003
2026-02-20,2026,2,20,Friday,07,2026-07,285.04,286.92,281.74,286.13,6974100,0.00024142271912608315,278.62357142857144,313.5756
2026-02-23,2026,2,23,Monday,08,2026-08,284.7,287.87,277.91,278.57,7247500,-0.02641378185666754,278.3942857142857,312.7614
2026-02-24,2026,2,24,Tuesday,08,2026-08,278.43,278.63,268.17,270.29,9684500,-0.029715899424323178,277.67285714285714,311.6874
2026-02-25,2026,2,25,Wednesday,08,2026-08,273.59,280.94,273.17,280.41,11380600,0.037415555092391806,278.25642857142856,310.651
2026-02-26,2026,2,26,Thursday,08,2026-08,283.15,291.32,281.42,282.83,10210000,0.008655856015870489,279.53285714285715,309.562
2026-02-27,2026,2,27,Friday,08,2026-08,280.9,290.2,280.06,289.35,9723300,0.023058566042996498,280.7035714285714,308.61800000000005
2026-03-02,2026,3,2,Monday,09,2026-09,284.31,291.37,283.66,290.99,8141400,0.005660447205914965,282.05857142857144,307.843
2026-03-03,2026,3,3,Tuesday,09,2026-09,285.13,289.82,280.56,285.35,7051100,-0.01939445130611639,283.18571428571425,307.00600000000003
2026-03-04,2026,3,4,Wednesday,09,2026-09,285.15,290.41,283.84,288.06,7796000,0.009508656493327106,284.10499999999996,306.29200000000003
2026-03-05,2026,3,5,Thursday,09,2026-09,286.18,287.5,282.91,284.92,5397900,-0.010926207865873838,284.4157142857143,305.5294
2026-03-06,2026,3,6,Friday,09,2026-09,283.5,287.44,279.27,282.66,6816900,-0.007930081267373379,283.9428571428571,304.76619999999997
2026-03-09,2026,3,9,Monday,10,2026-10,280.4,283.58,277.08,283.55,10348800,0.0031660343379333877,283.8228571428571,304.028
2026-03-10,2026,3,10,Tuesday,10,2026-10,285.75,285.95,277.32,280.74,6075600,-0.009924032845914033,283.565,303.17859999999996
2026-03-11,2026,3,11,Wednesday,10,2026-10,280.78,284.59,279.01,283.63,6878800,0.010306792695345735,283.39142857142855,302.3032
2026-03-12,2026,3,12,Thursday,10,2026-10,283.16,285.93,274.72,275.48,10512300,-0.028746749243328207,282.6307142857143,301.3218
2026-03-13,2026,3,13,Friday,10,2026-10,276.48,281.27,276.23,280.49,4737600,0.01819168171995944,282.76785714285717,300.377
2026-03-16,2026,3,16,Monday,11,2026-11,282.37,285.77,279.44,283.87,4854000,0.012052837162664254,283.73785714285714,299.54040000000003
2026-03-17,2026,3,17,Tuesday,11,2026-11,286.17,287.35,283.22,285.94,5752000,0.007285787097972118,284.1328571428572,298.621
2026-03-18,2026,3,18,Wednesday,11,2026-11,283.58,286.76,281.46,282.72,4544100,-0.011266887096326617,284.125,297.52639999999997
2026-03-19,2026,3,19,Thursday,11,2026-11,282.39,285.92,278.48,278.85,5542100,-0.013681218530110173,283.37500000000006,296.2172
2026-03-20,2026,3,20,Friday,11,2026-11,277.41,281.49,273.44,274.02,38893000,-0.017294222749877908,282.16285714285715,294.9548
2026-03-23,2026,3,23,Monday,12,2026-12,277.55,279.16,267.56,268.01,10424200,-0.021952949517270337,280.9242857142857,293.4706
2026-03-24,2026,3,24,Tuesday,12,2026-12,267.34,271.83,266.07,270.73,5911700,0.010165417766627938,279.68642857142856,292.0974
2026-03-25,2026,3,25,Wednesday,12,2026-12,273.44,274.51,265.59,269.01,8121200,-0.006353787146608836,278.55,290.7584
2026-03-26,2026,3,26,Thursday,12,2026-12,268.46,273.08,265.66,266.53,6218800,-0.009240349017332283,277.3978571428571,289.4996
2026-03-27,2026,3,27,Friday,12,2026-12,265.98,266.15,254.52,257.55,10735300,-0.03368778511357484,275.5407142857143,288.0408
2026-03-30,2026,3,30,Monday,13,2026-13,258.7,260.84,255.21,260.3,7774700,0.010694286750924098,274.0807142857143,286.558
2026-03-31,2026,3,31,Tuesday,13,2026-13,261.51,270.34,261.12,269.05,9170800,0.03361463155622779,273.0392857142857,285.407
2026-04-01,2026,4,1,Wednesday,13,2026-13,272.65,273.74,269.22,272.42,5473400,0.012528216076990617,272.8207142857143,284.17719999999997
2026-04-02,2026,4,2,Thursday,13,2026-13,270.74,277.46,269.99,275.69,6407000,0.011971713914696425,272.47785714285715,282.8288
2026-04-06,2026,4,6,Monday,14,2026-14,276.3,281.69,275.68,279.76,7097000,0.01478747099321076,272.1842857142857,281.42920000000004
2026-04-07,2026,4,7,Tuesday,14,2026-14,307.1,310.66,299.04,305.98,22099800,0.09372345849560482,273.61571428571426,280.5188
2026-04-08,2026,4,8,Wednesday,14,2026-14,310.23,311.19,303.1,304.24,9645000,-0.00568686846926203,275.15285714285716,279.6646
2026-04-09,2026,4,9,Thursday,14,2026-14,304.08,306.14,302.41,305.17,5742000,0.003039396602387834,277.03285714285715,280.1894
